Names,Prices

"Rio Mare Canned Light Tuna Meat With Olive Oil, 80g, Pack of 3 ",EGP94.95
Nestle Pure Fizz Triple Berry 360 ml ,EGP7.95
Beyti Juice Tropicana Orange 235 ml ,EGP4.75
Beyti Juice Tropicana Cocktail 235 ml ,EGP4.75
Al Doha Pop Corn 500G  ,EGP22.50
Al Duha Lupine 500 gm ,EGP18.95
Hero Peanut Butter- 300 gm ,EGP51.95
Kitkat 4 Fingers Chocolate – 41.5gm ,EGP12.95
KitKat Chunky Lotus Chocolate – 41.5gm ,EGP15.00
Kinder Creamy Milky Crunchy ,EGP7.00
El Matbakh Rice 1K ,EGP15.50
Italiano Pasta Lasagna 400gm ,EGP21.25
El Matbakh Pasta big rings400g ,EGP6.50
Nestle Coffee Mate 400 gm ,EGP53.95
Mars Chocolate 51 gm ,EGP15.00
ISIS Anise - 20 Bags ,EGP19.95
Nestle COFFEE-MATE 170Gm ,EGP26.95
Nescafe Gold Colombia 100gm ,EGP105.95
"Lavazza Espresso Italiano Ground Coffee Blend, Medium Roast 250gm ",EGP180.95
NESCAFE CLASSIC Sachet 50g ,EGP26.95
ISIS Peppermint 50 Bags ,EGP42.95
Cooks Chocolate Drink 400 gm ,EGP23.95
"Segafredo Nespresso Compatible & Compostable Capsules, Le Origini Etiopia ",EGP114.75
Isis Mint 100 Bags ,EGP69.95
Berti Crema Rica 51 gm ,EGP103.50
Isis Ginger & Cinnamon 20 Bags ,EGP19.95
ISIS Peppermint 20 Bags ,EGP19.95
Isis Hibiscus 20 bags ,EGP19.95
Isis Lemon and Ginger 50 Bags ,EGP36.95
Jo Apricot 175 g ,EGP54.95
Coca-Cola - Twist Off 330Ml ,EGP5.50
Coca-Cola Zero-Twist Off 330Ml ,EGP5.50
Vitrac Fig Jam 430 gm ,EGP22.95
Halwani Bros Jam Fig - 750gram ,EGP32.75
Temmys Sweet Flak.E/Calcium250 ,EGP31.95
Hero Red Cherry Jam 340Gr ,EGP42.25
Al-Bawadi tahina 480 g + honey 350 g ,EGP52.95
Al-Bawadi Halawa W/Almond 280G ,EGP35.95
BRIGHT STARS POPCORN 100GM CARAME ,EGP15.50
 Vitrac Mix Strawberry and Raspberry Jam - 430 G ,EGP22.95
Imtenan Brown Rice- 750 Gm ,EGP37.95
