Names,Prices

Aldoha Excellent Egyptian Rice - 5Kg,EGP 94.00
Nestle Pure Life Natural Water Bottles – 1.5 L – 12 PCs,EGP 49.50
Chefy Mix Tomato Ketchup - 1kg,EGP 26.50
Aldoha Flour – 1Kg,EGP 22.90
Nestle Pure Life Natural Water Bottles – 0.60 L – 20 PCs,EGP 50.45
Chefy Mix BBQ Sauce - 1kg,EGP 33.00
"Vanish Vanish Laundry Stain Remover Liquid for White Colored Clothes, 900ml",EGP 72.00
Aldoha Excellent Egyptian Rice - 1Kg,EGP 22.00
Knorr Beef Flavored Cube – 12 Cubes - 108gm,EGP 6.00
Afia Plus Corn Oil – 2.2L,EGP 117.95
Finish Classic Powder Dishwasher Detergent – 1Kg - 2+1 Pack,EGP 206.95
Chefy Mix Chili Ketchup 1 Kg,EGP 27.50
Lipton Dust Black Tea - 250 gm,EGP 32.95
Chefy Mix Mustard - 1 Kg,EGP 33.00
Blue Tea Pot Fine Black Tea - 40 gm,EGP 4.00
Ariel Liquid lavender detergent 3.3 Kilogram,EGP 128.00
Kellogg's Chicken Flavored Noodles – 70 gm,EGP 3.00
Lipton Rich Black Tea In Tin Box - 100 Teabags,EGP 45.00
Lipton Yellow Label Black Tea - 25 Tea Bags,EGP 12.00
Elmatbakh Vermicelli Pasta - 400g,EGP 8.00
Fern Pure Natural Butter Ghee -  1.4Kg,EGP 279.40
Lipton Dust Black Tea - 100 gm,EGP 14.00
Maxtella Chocolate Hazelnut Spread - 950 Gm,EGP 65.00
Baraka Natural Drinking Water Bottles – 0.60 L – 20 PCs,EGP 45.00
Blue Tea Pot Fine Black Tea - 250 gm,EGP 20.00
Nescafe 3 in1 Rich Sachet - 21gm,EGP 3.50
Lipton Dust Black Tea - 400gm,EGP 47.40
Lipton Dust Black Tea - 40 gm,EGP 6.00
Knorr Hawawshi Mix - 30 gm,EGP 5.00
Mr. Food Golden Basmati Rice - 1 Kg,EGP 29.95
White Large Facial Tissues - 3 Packs– 550 Tissues – 3 Layers,EGP 58.83
Lipton Kharaz Tea - 250gm,EGP 29.40
Kellogg's Vegetables Flavored Noodles – 70 gm,EGP 2.95
Eldoha Bread Crumbs - 300 gm,EGP 17.40
Sunshine Tuna Chunks – 185 gm,EGP 26.00
Lipton Black Tea new Tawlefa - 100 Tea Bags,EGP 33.00
Almarai Full Fat Plastic Bottle Milk-1.5 L,EGP 32.00
Rose Tuna Solid 4x 200 Gm,EGP 95.00
Maxtella Chocolate Hazelnut Spread -320 Gm,EGP 33.00
Mr. Food White Fine Flour - All Purpose - 1kg,EGP 14.00
Knorr Tomato Paste Pouch - 50gm,EGP 7.00
Almarai Full Cream Plain Milk-200 Ml,EGP 5.00
Kellogg's Vegetables Flavored Noodles – 100 gm,EGP 4.00
Elmatbakh Small Rings Pasta - 400g,EGP 8.00
Hanady Mixed Oil - 700ml,EGP 29.95
Tide Powder Touch of Downy Detergent 7 Kilogram,EGP 184.00
Knorr Shawerma Mix – 30 gm,EGP 6.00
Knorr Chicken 24 Cube - 216gm,EGP 12.80
Elmatbakh Penne Pasta – 1Kg,EGP 17.25
Star Pasta Penne - 1kg,EGP 19.10
Star Elbow Pasta - 1kg,EGP 15.90
Sunshine Chili Shredded Tuna – 185 gm,EGP 16.50
Juhayna Juhayna Full Cream Milk – 1 L,EGP 19.00
Lipton Black Tea With Mint - 25 Tea Bags,EGP 16.00
Heinz Tomato Ketchup Bottle - 340 gm,EGP 22.00
Dettol Antiseptic Disinfectant Liquid 950ml - Pack of 2,EGP 223.00
IGel-Power Gel Liquid Laundry Detergent-Front & Top Load 2 Litre Offer,EGP 58.00
